city,Latitude,Longitude,city_pop
Cape Town,-33.928992,18.417396,3433441
Durban,-29.861825,31.009909,3120282
Johannesburg,-26.205,28.049722,2026469
Pretoria,-25.7459374,28.1879444,1619438
Port Elizabeth,-33.9617051,25.6207519,967677
Pietermaritzburg,-29.6,30.3788889,750845
East London,-33.0191604,27.8998573,478676
Vereeniging,-26.6747222,27.9261111,474681
Bloemfontein,-29.116395,26.215496,463064
Boksburg,-26.212,28.2596,445168
Welkom,-27.982298,26.737969,431944
Newcastle,-27.762778,29.923889,404838
Krugersdorp,-26.095556,27.775556,378821
Randburg,-26.096111,27.975,337053
Roodepoort,-26.1563889,27.8858333,326416
eMalahleni,-25.8763485,29.2010447,262491
Richards Bay,-28.7707857,32.0577775,252968
Sandton,-26.1045525,28.0545147,222415
Klerksdorp,-26.8625383,26.6656814,178921
Benoni,-26.1885,28.3208,158777
Pinetown,-29.8207,30.8867,144026
Kimberley,-28.73113993,24.75506521,142089
Makhanda (Grahamstown),-33.3070589,26.5272648,140000
Rustenburg,-25.665655,27.241448,124064
Polokwane,-23.9058333,29.4613889,123749
Potchefstroom,-26.7150922,27.1013887,123669
Springs,-26.25,28.4,122000
Ladysmith,-28.551944,29.778333,119726
Paarl,-33.7338,18.9752,112045
Mbombela (Nelspruit),-25.481944,30.984722,110159
Uitenhage,-33.7576,25.3971,107000
Mthatha,-31.589075,28.789145,210783
,,,